record_id,institution_id,course_id,student_id,instructor_id,survey_rating,instructor_eval_score,LMS_logins,LMS_time_spent_minutes,assignments_submitted,attendance_percent,observation_rating,feedback_text,target_quality_label
1,7,MECH-303,2286,185,2,1,18,228.90959475277933,1,52.59410387969961,5,Too fast-paced and hard to follow.,2
2,4,MECH-303,4422,276,4,2,21,226.21001042047345,6,97.11168597455831,1,Excellent instructor with clear examples.,1
3,8,MECH-303,4179,116,2,4,20,136.0933429907417,8,76.36129891252416,2,Too fast-paced and hard to follow.,1
4,5,AUT-101,4657,197,1,2,27,212.93550667369163,5,66.25288216959076,4,Very informative and well-structured.,2
5,7,ELEC-202,2062,297,4,3,24,252.57462481293445,9,57.90632848165341,1,Needs more hands-on practice.,0
6,3,AUT-101,3956,197,4,4,18,228.46829592968868,1,66.92633173634178,5,Excellent instructor with clear examples.,2
7,7,MECH-303,3206,164,1,3,21,165.9915299149887,9,51.02558015116948,5,The class was engaging and clear.,0
8,8,AUT-101,4654,429,4,4,21,200.66323215419865,9,68.1779077674149,4,The class was engaging and clear.,1
9,5,MECH-303,4006,440,2,5,14,236.51784656005995,8,76.57429636522524,1,Needs more hands-on practice.,2
10,4,MECH-303,3359,104,4,2,15,202.97260171088246,6,93.59331229254724,3,The class was engaging and clear.,2
11,8,AUT-101,4312,101,3,1,25,262.7142444553448,0,84.36872088488988,4,Very informative and well-structured.,1
12,8,MECH-303,1444,121,5,4,19,219.78407784200544,8,55.57911565666207,5,Too fast-paced and hard to follow.,1
13,3,ELEC-202,3345,211,2,4,17,237.64613326439155,1,57.387316221898054,2,Needs more hands-on practice.,2
14,6,MECH-303,1951,156,3,3,12,241.070032349588,3,71.40616839091874,1,Excellent instructor with clear examples.,2
15,5,ELEC-202,1035,165,1,5,29,146.66586483470684,8,59.78538758193939,3,Too fast-paced and hard to follow.,0
16,2,ELEC-202,2107,429,2,3,19,202.49930176783394,3,51.39248887913779,2,The class was engaging and clear.,2
17,8,MECH-303,2475,197,5,3,15,183.38227632405176,2,90.25074400590351,1,The class was engaging and clear.,1
18,6,AUT-101,4957,243,5,5,17,252.19229974035392,0,50.97612853489971,4,Excellent instructor with clear examples.,1
19,2,ELEC-202,2798,467,1,1,21,223.16165233520124,6,91.5344802599007,4,Very informative and well-structured.,1
20,5,AUT-101,2845,224,1,3,22,190.5893768947205,5,57.205198151648304,1,Excellent instructor with clear examples.,1
21,1,ELEC-202,2408,266,2,3,14,135.90742982786685,9,98.7339205403558,3,Needs more hands-on practice.,2
22,6,MECH-303,2195,185,4,4,16,120.15458339397294,3,80.1936955913095,1,Excellent instructor with clear examples.,1
23,9,MECH-303,2399,175,1,5,18,215.51713099724768,5,86.74914858149478,2,The class was engaging and clear.,2
